level_0,index,DOI,Name,Temperature,proton conductivity,RH,Ea,Guest,NOTE,Water Adsorption(cm^3/g),g/g,mol/mol,weight,wt%
808,903,10.1021/acs.inorgchem.1c01522,FATKOC,333.0,2.68e-07,68.0,0.73,,2 Eu,167.85750762685896,0.135,,,
809,904,10.1021/acs.inorgchem.1c01522,FATKOC,343.0,6.07e-07,68.0,0.73,,2 Eu,167.85750762685896,0.135,,,
810,905,10.1021/acs.inorgchem.1c01522,FATKOC,353.0,1.19e-06,68.0,0.73,,2 Eu,167.85750762685896,0.135,,,
811,906,10.1021/acs.inorgchem.1c01522,FATKOC,363.0,2.83e-06,68.0,0.73,,2 Eu,167.85750762685896,0.135,,,
812,907,10.1021/acs.inorgchem.1c01522,FATKOC,373.0,7.73e-06,68.0,0.73,,2 Eu,167.85750762685896,0.135,,,
813,908,10.1021/acs.inorgchem.1c01522,FATKOC,303.0,1.38e-07,75.0,,,2 Eu,188.9951196983893,0.152,,,
814,909,10.1021/acs.inorgchem.1c01522,FATKOC,313.0,2.22e-07,75.0,,,2 Eu,188.9951196983893,0.152,,,
815,910,10.1021/acs.inorgchem.1c01522,FATKOC,323.0,3.8e-07,75.0,,,2 Eu,188.9951196983893,0.152,,,
816,911,10.1021/acs.inorgchem.1c01522,FATKOC,333.0,6.68e-07,75.0,,,2 Eu,188.9951196983893,0.152,,,
817,912,10.1021/acs.inorgchem.1c01522,FATKOC,343.0,2.83e-06,75.0,,,2 Eu,188.9951196983893,0.152,,,
818,913,10.1021/acs.inorgchem.1c01522,FATKOC,353.0,6.89e-06,75.0,,,2 Eu,188.9951196983893,0.152,,,
819,914,10.1021/acs.inorgchem.1c01522,FATKOC,363.0,9.62e-06,75.0,,,2 Eu,188.9951196983893,0.152,,,
820,915,10.1021/acs.inorgchem.1c01522,FATKOC,373.0,2.37e-05,75.0,,,2 Eu,188.9951196983893,0.152,,,
821,916,10.1021/acs.inorgchem.1c01522,FATKOC,303.0,2.63e-07,85.0,,,2 Eu,195.21206442531007,0.157,,,
822,917,10.1021/acs.inorgchem.1c01522,FATKOC,313.0,6.16e-07,85.0,,,2 Eu,195.21206442531007,0.157,,,
823,918,10.1021/acs.inorgchem.1c01522,FATKOC,323.0,1.18e-06,85.0,,,2 Eu,195.21206442531007,0.157,,,
824,919,10.1021/acs.inorgchem.1c01522,FATKOC,333.0,1.84e-06,85.0,,,2 Eu,195.21206442531007,0.157,,,
825,920,10.1021/acs.inorgchem.1c01522,FATKOC,343.0,6.3e-06,85.0,,,2 Eu,195.21206442531007,0.157,,,
826,921,10.1021/acs.inorgchem.1c01522,FATKOC,353.0,1.36e-05,85.0,,,2 Eu,195.21206442531007,0.157,,,
827,922,10.1021/acs.inorgchem.1c01522,FATKOC,363.0,3.19e-05,85.0,,,2 Eu,195.21206442531007,0.157,,,
828,923,10.1021/acs.inorgchem.1c01522,FATKOC,373.0,7.08e-05,85.0,,,2 Eu,195.21206442531007,0.157,,,
829,924,10.1021/acs.inorgchem.1c01522,FATKOC,303.0,5.18e-07,93.0,,,2 Eu,210.13273176991976,0.169,,,
830,925,10.1021/acs.inorgchem.1c01522,FATKOC,313.0,8.98e-07,93.0,,,2 Eu,210.13273176991976,0.169,,,
831,926,10.1021/acs.inorgchem.1c01522,FATKOC,323.0,1.89e-06,93.0,,,2 Eu,210.13273176991976,0.169,,,
832,927,10.1021/acs.inorgchem.1c01522,FATKOC,333.0,2.83e-06,93.0,,,2 Eu,210.13273176991976,0.169,,,
833,928,10.1021/acs.inorgchem.1c01522,FATKOC,343.0,8.5e-06,93.0,,,2 Eu,210.13273176991976,0.169,,,
834,929,10.1021/acs.inorgchem.1c01522,FATKOC,353.0,1.22e-05,93.0,,,2 Eu,210.13273176991976,0.169,,,
835,930,10.1021/acs.inorgchem.1c01522,FATKOC,363.0,7.08e-05,93.0,,,2 Eu,210.13273176991976,0.169,,,
836,931,10.1021/acs.inorgchem.1c01522,FATKOC,373.0,0.0003,93.0,,,2 Eu,210.13273176991976,0.169,,,
837,932,10.1021/acs.inorgchem.1c01522,FATKOC,303.0,3.64e-06,98.0,0.94,,2 Eu,210.13273176991976,0.169,,,
838,933,10.1021/acs.inorgchem.1c01522,FATKOC,313.0,5.1e-06,98.0,0.94,,2 Eu,210.13273176991976,0.169,,,
839,934,10.1021/acs.inorgchem.1c01522,FATKOC,323.0,6.85e-06,98.0,0.94,,2 Eu,210.13273176991976,0.169,,,
840,935,10.1021/acs.inorgchem.1c01522,FATKOC,333.0,1.07e-05,98.0,0.94,,2 Eu,210.13273176991976,0.169,,,
841,936,10.1021/acs.inorgchem.1c01522,FATKOC,343.0,8.1e-05,98.0,0.94,,2 Eu,210.13273176991976,0.169,,,
842,937,10.1021/acs.inorgchem.1c01522,FATKOC,353.0,0.000282,98.0,0.94,,2 Eu,210.13273176991976,0.169,,,
843,938,10.1021/acs.inorgchem.1c01522,FATKOC,363.0,0.000464,98.0,0.94,,2 Eu,210.13273176991976,0.169,,,
844,939,10.1021/acs.inorgchem.1c01522,FATKOC,373.0,0.0014,98.0,0.94,,2 Eu,210.13273176991976,0.169,,,
1033,1128,10.1021/acs.inorgchem.2c01023,DELTEX,298.0,3.4e-06,98.0,0.23,,BAM-2,165.0,,,,
1041,1136,10.1021/acs.inorgchem.2c01023,DELTEX,363.0,4.4e-05,98.0,0.23,,BAM-2,165.0,,,,
1042,1137,10.1021/acs.inorgchem.2c01023,DELTEX,353.8094665,2.72e-05,98.0,0.23,,BAM-2,165.0,,,,
1043,1138,10.1021/acs.inorgchem.2c01023,DELTEX,343.6815859,2.3e-05,98.0,0.23,,BAM-2,165.0,,,,
1044,1139,10.1021/acs.inorgchem.2c01023,DELTEX,333.4822888,1.76e-05,98.0,0.23,,BAM-2,165.0,,,,
1045,1140,10.1021/acs.inorgchem.2c01023,DELTEX,323.2699401,1.49e-05,98.0,0.23,,BAM-2,165.0,,,,
1046,1141,10.1021/acs.inorgchem.2c01023,DELTEX,312.9449686,1.14e-05,98.0,0.23,,BAM-2,165.0,,,,
1048,1143,10.1021/acs.inorgchem.2c01241,EDIKEL,303.0,7.05e-06,95.0,,Cl,1,,,,,
1049,1144,10.1021/acs.inorgchem.2c01241,EDIKEL,316.1847,1.33e-05,95.0,,Cl,1,,,,,
1050,1145,10.1021/acs.inorgchem.2c01241,EDIKEL,326.7367,2.32e-05,95.0,,Cl,1,,,,,
1051,1146,10.1021/acs.inorgchem.2c01241,EDIKEL,336.5456,3.9e-05,95.0,,Cl,1,,,,,
1052,1147,10.1021/acs.inorgchem.2c01241,EDIKEL,345.9087,5.88e-05,95.0,,Cl,1,,,,,
1053,1148,10.1021/acs.inorgchem.2c01241,EDIKEL,353.0,0.000116,95.0,,Cl,1,,,,,
1059,1154,10.1021/acs.inorgchem.2c03341,REPKEG,353.0,3.06e-06,98.0,,DMF,FJU-100b,,,,,
1060,1155,10.1021/acs.inorgchem.2c03341,REPKEG,348.0694329,2.77e-06,98.0,,DMF,FJU-100b,,,,,
1061,1156,10.1021/acs.inorgchem.2c03341,REPKEG,343.272208,1.77e-06,98.0,,DMF,FJU-100b,,,,,
1062,1157,10.1021/acs.inorgchem.2c03341,REPKEG,338.1885943,1.02e-06,98.0,,DMF,FJU-100b,,,,,
1063,1158,10.1021/acs.inorgchem.2c03341,REPKEG,333.0502406,6.36e-07,98.0,,DMF,FJU-100b,,,,,
1064,1159,10.1021/acs.inorgchem.2c03341,REPKEG,328.0646156,4.19e-07,98.0,,DMF,FJU-100b,,,,,
1065,1160,10.1021/acs.inorgchem.2c03341,REPKEG,323.0370653,4.03e-07,98.0,,DMF,FJU-100b,,,,,
1066,1161,10.1021/acs.inorgchem.2c03341,REPKEG,317.9761454,3.78e-07,98.0,,DMF,FJU-100b,,,,,
1067,1162,10.1021/acs.inorgchem.2c03341,REPKEG,313.0713552,3.44e-07,98.0,,DMF,FJU-100b,,,,,
1068,1163,10.1021/acs.inorgchem.2c03341,REPKEG,308.1417205,3.14e-07,98.0,,DMF,FJU-100b,,,,,
1069,1164,10.1021/ic3007316,WEHNAA,292.1593203,0.001663374,100.0,0.31,,,,,,,
1070,1165,10.1021/ic3007316,WEHNAA,290.1224897,0.001601106,100.0,0.31,,,,,,,
1071,1166,10.1021/ic3007316,WEHNAA,288.1138626,0.001374422,100.0,0.31,,,,,,,
1072,1167,10.1021/ic3007316,WEHNAA,286.0984751,0.001273415,100.0,0.31,,,,,,,
1073,1168,10.1021/ic3007316,WEHNAA,284.1118946,0.001179832,100.0,0.31,,,,,,,
1074,1169,10.1021/ic3007316,WEHNAA,282.11928,0.001012791,100.0,0.31,,,,,,,
1075,1170,10.1021/ic3007316,WEHNAA,292.1670027,7.85e-05,94.0,,,,,,,,
1076,1171,10.1021/ic3007316,WEHNAA,290.1300653,6.49e-05,94.0,,,,,,,,
1077,1172,10.1021/ic3007316,WEHNAA,288.1562037,5.79e-05,94.0,,,,,,,,
1078,1173,10.1021/ic3007316,WEHNAA,286.1066606,4.6e-05,94.0,,,,,,,,
1079,1174,10.1021/ic3007316,WEHNAA,284.1199668,3.8e-05,94.0,,,,,,,,
1080,1175,10.1021/ic3007316,WEHNAA,282.1606736,3.26e-05,94.0,,,,,,,,
1081,1176,10.1021/ic3007316,WEHNAA,292.1729781,7.66e-06,90.0,,,,,,,,
1082,1177,10.1021/ic3007316,WEHNAA,290.1713171,6.57e-06,90.0,,,,,,,,
1083,1178,10.1021/ic3007316,WEHNAA,288.1620162,5.64e-06,90.0,,,,,,,,
1084,1179,10.1021/ic3007316,WEHNAA,286.1459573,5.23e-06,90.0,,,,,,,,
1085,1180,10.1021/ic3007316,WEHNAA,284.1587197,4.66e-06,90.0,,,,,,,,
1086,1181,10.1021/ic3007316,WEHNAA,282.1654505,3.71e-06,90.0,,,,,,,,
1087,1182,10.1021/ic3007316,WEHNAA,292.1849297,7.56e-08,82.0,,,,,,,,
1088,1183,10.1021/ic3007316,WEHNAA,290.1822635,6.74e-08,82.0,,,,,,,,
1089,1184,10.1021/ic3007316,WEHNAA,288.1387676,6.01e-08,82.0,,,,,,,,
1090,1185,10.1021/ic3007316,WEHNAA,286.1574209,4.97e-08,82.0,,,,,,,,
1091,1186,10.1021/ic3007316,WEHNAA,284.1700246,4.1e-08,82.0,,,,,,,,
1092,1187,10.1021/ic3007316,WEHNAA,282.1765974,3.8e-08,82.0,,,,,,,,
1155,1250,10.1021/acs.inorgchem.8b01023,JICJEN,298.0,8.12e-06,0.0,,,,,,,,
1160,1255,10.1021/acs.inorgchem.8b01023,JICJEN,313.0,1.01e-05,0.0,,,,,,,,
1165,1260,10.1021/acs.inorgchem.8b01023,JICJEN,323.0,2.71e-05,0.0,,,,,,,,
1170,1265,10.1021/acs.inorgchem.8b01023,JICJEN,333.0,3.77e-05,0.0,,,,,,,,
1175,1270,10.1021/acs.inorgchem.8b01023,JICJEN,343.0,5.25e-05,0.0,,,,,,,,
1180,1275,10.1021/acs.inorgchem.8b01023,JICJEN,353.0,8.57e-05,0.0,,,,,,,,
1185,1280,10.1021/acs.inorgchem.8b01023,JICJEN,363.0,0.000101,0.0,,,,,,,,
1190,1285,10.1021/acs.inorgchem.8b01023,JICJEN,373.0,0.000784,0.0,,,,,,,,
1195,1290,10.1021/acs.inorgchem.8b01023,JICJEN,383.0,0.000983,0.0,,,,,,,,
1200,1295,10.1021/acs.inorgchem.8b01023,JICJEN,393.0,0.00111,0.0,,,,,,,,
1205,1300,10.1021/acs.inorgchem.8b01023,JICJEN,403.0,0.00129,0.0,,,,,,,,
1210,1305,10.1021/acs.inorgchem.8b01023,JICJEN,413.0,0.00138,0.0,,,,,,,,
1215,1310,10.1021/acs.inorgchem.8b01023,JICJEN,423.0,0.00186,0.0,,,,,,,,
1341,1436,10.1021/ja2078637,IBICAZ,304.0,4.4e-05,98.0,0.34,,cl,172.91824854467222,,,,0.122
1342,1437,10.1021/ja2078637,IBICAZ,302.7752378,3.04e-05,98.0,0.34,,cl,172.91824854467222,,,,0.122
1343,1438,10.1021/ja2078637,IBICAZ,298.9625998,1.85e-05,98.0,0.34,,cl,172.91824854467222,,,,0.122
1344,1439,10.1021/ja2078637,IBICAZ,295.0374698,1.36e-05,98.0,0.34,,cl,172.91824854467222,,,,0.122
1345,1440,10.1021/ja2078637,IBICAZ,304.0,1.49e-05,75.0,,,cl,158.53689089314796,,,,0.113
1346,1441,10.1021/ja2078637,IBICAZ,304.0,1.22e-05,60.0,,,cl,150.67264573991028,,,,0.108
1413,1529,10.1021/jacs.5b02777,YUJVOQ01,290.0,5e-09,50.0,,Me2NH,,,,,,
1414,1530,10.1021/jacs.5b02777,YUJVOQ01,290.0,3.9e-05,67.0,,Me2NH,,,,,,
1415,1531,10.1021/jacs.5b02777,YUJVOQ01,309.0960794,4.47e-05,61.0,0.64,Me2NH,,,,,,
1416,1532,10.1021/jacs.5b02777,YUJVOQ01,307.0866384,3.4e-05,61.0,0.64,Me2NH,,,,,,
1417,1533,10.1021/jacs.5b02777,YUJVOQ01,305.1934774,3.26e-05,61.0,0.64,Me2NH,,,,,,
1418,1534,10.1021/jacs.5b02777,YUJVOQ01,303.0798979,2.96e-05,61.0,0.64,Me2NH,,,,,,
1419,1535,10.1021/jacs.5b02777,YUJVOQ01,301.0651686,2.1e-05,61.0,0.64,Me2NH,,,,,,
1420,1536,10.1021/jacs.5b02777,YUJVOQ01,299.0072958,1.87e-05,61.0,0.64,Me2NH,,,,,,
1421,1537,10.1021/jacs.5b02777,YUJVOQ01,297.0558792,1.71e-05,61.0,0.64,Me2NH,,,,,,
1422,1538,10.1021/jacs.5b02777,YUJVOQ01,295.0505274,1.44e-05,61.0,0.64,Me2NH,,,,,,
1423,1539,10.1021/jacs.5b02777,YUJVOQ01,293.1476731,1.23e-05,61.0,0.64,Me2NH,,,,,,
1454,1570,10.1021/jacs.6b12847,GEGPAM,423.0,0.00125,0.0,0.21,Me2NH,1,0.0,,,,
1455,1571,10.1021/jacs.6b12847,GEGPAM,402.9106264,0.000947611,0.0,0.21,Me2NH,1,0.0,,,,
1456,1572,10.1021/jacs.6b12847,GEGPAM,372.8658093,0.00065053,0.0,0.21,Me2NH,1,0.0,,,,
1457,1573,10.1021/jacs.6b12847,GEGPAM,343.1614781,0.000363858,0.0,0.21,Me2NH,1,0.0,,,,
1458,1574,10.1021/jacs.6b12847,GEGPAM,303.0,0.000169,0.0,0.21,Me2NH,1,0.0,,,,
1459,1575,10.1021/jacs.6b12847,GEGPAM,303.0,2.17e-05,98.0,0.38,Me2NH,1,50.0,,,,
1460,1576,10.1021/jacs.6b12847,GEGPAM,313.049,5.47e-05,98.0,0.38,Me2NH,1,50.0,,,,
1461,1577,10.1021/jacs.6b12847,GEGPAM,323.17,0.000110141,98.0,0.38,Me2NH,1,50.0,,,,
1462,1578,10.1021/jacs.6b12847,GEGPAM,333.097,0.000292945,98.0,0.38,Me2NH,1,50.0,,,,
1463,1579,10.1021/jacs.6b12847,GEGPAM,343.219,0.000446648,98.0,0.38,Me2NH,1,50.0,,,,
1464,1580,10.1021/jacs.6b12847,GEGPAM,352.951,0.000899328,98.0,0.38,Me2NH,1,50.0,,,,
1465,1581,10.1021/jacs.6b12847,GEGPAM,363.073,0.00163165,98.0,0.38,Me2NH,1,50.0,,,,
1466,1582,10.1021/jacs.6b12847,GEGPAM,373.0,0.00376,98.0,0.38,Me2NH,1,50.0,,,,
1467,1583,10.1021/jacs.6b12847,GEGPAM,302.927,2e-06,85.0,,Me2NH,1,30.0,,,,
1468,1584,10.1021/jacs.6b12847,GEGPAM,312.854,8.07e-06,85.0,,Me2NH,1,30.0,,,,
1469,1585,10.1021/jacs.6b12847,GEGPAM,322.976,1.41e-05,85.0,,Me2NH,1,30.0,,,,
1470,1586,10.1021/jacs.6b12847,GEGPAM,332.903,4.03e-05,85.0,,Me2NH,1,30.0,,,,
1471,1587,10.1021/jacs.6b12847,GEGPAM,343.219,5.94e-05,85.0,,Me2NH,1,30.0,,,,
1472,1588,10.1021/jacs.6b12847,GEGPAM,352.951,0.000163583,85.0,,Me2NH,1,30.0,,,,
1473,1589,10.1021/jacs.6b12847,GEGPAM,362.878,0.00042021,85.0,,Me2NH,1,30.0,,,,
1474,1590,10.1021/jacs.6b12847,GEGPAM,373.0,0.000502234,85.0,,Me2NH,1,30.0,,,,
1487,1648,10.1021/jacs.7b07987,IDUWAH,292.679,0.001900422,95.0,0.17,,Lr-PCMOF-5,,,,,
1488,1649,10.1021/jacs.7b07987,IDUWAH,304.659,0.002799755,95.0,0.17,,Lr-PCMOF-5,,,,,
1489,1650,10.1021/jacs.7b07987,IDUWAH,316.027,0.003542256,95.0,0.17,,Lr-PCMOF-5,,,,,
1490,1651,10.1021/jacs.7b07987,IDUWAH,326.486,0.003956945,95.0,0.17,,Lr-PCMOF-5,,,,,
1491,1652,10.1021/jacs.7b07987,IDUWAH,336.495,0.004299421,95.0,0.17,,Lr-PCMOF-5,,,,,
1492,1653,10.1021/jacs.7b07987,IDUWAH,345.763,0.004937533,95.0,0.17,,Lr-PCMOF-5,,,,,
1493,1654,10.1021/jacs.7b07987,IDUWAH,354.576,0.005291271,95.0,0.17,,Lr-PCMOF-5,,,,,
1494,1655,10.1021/jacs.7b07987,IDUWAH,358.0,0.006,95.0,0.17,,Lr-PCMOF-5,,,,,
1585,1746,10.1016/j.inoche.2017.06.028,XEGROT,358.0,0.000426,97.0,0.58,,,,,,,
1586,1747,10.1016/j.inoche.2017.06.028,XEGROT,298.0,4.79e-06,97.0,0.58,,,,,,,
1587,1748,10.1016/j.inoche.2017.06.028,XEGROT,318.0,3.19e-05,97.0,0.58,,,,,,,
1588,1749,10.1016/j.inoche.2017.06.028,XEGROT,348.5474286,0.000107611,97.0,0.58,,,,,,,
1589,1750,10.1016/j.inoche.2017.06.028,XEGROT,338.0685468,0.000103279,97.0,0.58,,,,,,,
1590,1751,10.1016/j.inoche.2017.06.028,XEGROT,327.9591756,3.27e-05,97.0,0.58,,,,,,,
1591,1752,10.1016/j.inoche.2017.06.028,XEGROT,307.8893569,2.26e-05,97.0,0.58,,,,,,,
1592,1753,10.1016/j.inoche.2017.06.028,XEGROT,297.9515829,4.83e-06,97.0,0.58,,,,,,,
1720,1881,10.1039/C2DT11992G,CAVSUP,297.0,0.008,98.0,0.25,,1 La(H5DTMP)7H2O  2 La(H5DTMP) 3 2H2O,,,,,
1721,1882,10.1039/C2DT11992G,CAVSUP,295.1027695,0.007533209,98.0,0.25,,,,,,,
1722,1883,10.1039/C2DT11992G,CAVSUP,293.1115846,0.007005998,98.0,0.25,,,,,,,
1723,1884,10.1039/C2DT11992G,CAVSUP,291.082682,0.006631015,98.0,0.25,,,,,,,
1724,1885,10.1039/C2DT11992G,CAVSUP,289.1142695,0.006146671,98.0,0.25,,,,,,,
1839,2000,10.1039/C5TA10765B,MAFMAK,233.0,1.17e-06,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1840,2001,10.1039/C5TA10765B,MAFMAK,394.2657982,8.4e-05,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1841,2002,10.1039/C5TA10765B,MAFMAK,372.0404185,6.96e-05,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1842,2003,10.1039/C5TA10765B,MAFMAK,348.468481,4.94e-05,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1843,2004,10.1039/C5TA10765B,MAFMAK,328.5215872,3.63e-05,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1844,2005,10.1039/C5TA10765B,MAFMAK,312.2043815,2.76e-05,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1845,2006,10.1039/C5TA10765B,MAFMAK,296.7623231,1.85e-05,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1846,2007,10.1039/C5TA10765B,MAFMAK,279.1876755,1.11e-05,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1847,2008,10.1039/C5TA10765B,MAFMAK,264.1058959,5.87e-06,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1848,2009,10.1039/C5TA10765B,MAFMAK,253.4565132,3.75e-06,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1849,2010,10.1039/C5TA10765B,MAFMAK,242.7361216,2.3e-06,0.0,,cyclohexanol,FJU-31@Ch,,,,,
1867,2028,10.1039/C6TA07939C,ABEXEN,343.0,0.0172,97.0,0.37,Me2NH,,,,,,
1868,2029,10.1039/C6TA07939C,ABEXEN,298.0,0.00291,97.0,0.37,Me2NH,,,,,,
1869,2030,10.1039/C6TA07939C,ABEXEN,343.0,2.97e-05,75.0,,Me2NH,,,,,,
1870,2031,10.1039/C6TA07939C,ABEXEN,343.0,1.4e-05,50.0,,Me2NH,,,,,,
1871,2032,10.1039/C6TA07939C,ABEXEN,343.0,1.82e-06,40.0,,Me2NH,,,,,,
1872,2033,10.1039/C6TA07939C,ABEXEN,337.8834978,0.01527617,97.0,0.37,Me2NH,,,,,,
1873,2034,10.1039/C6TA07939C,ABEXEN,332.9526575,0.013000723,97.0,0.37,Me2NH,,,,,,
1874,2035,10.1039/C6TA07939C,ABEXEN,328.0398634,0.011144545,97.0,0.37,Me2NH,,,,,,
1875,2036,10.1039/C6TA07939C,ABEXEN,322.9066767,0.009698604,97.0,0.37,Me2NH,,,,,,
1876,2037,10.1039/C6TA07939C,ABEXEN,317.9326746,0.00831977,97.0,0.37,Me2NH,,,,,,
1877,2038,10.1039/C6TA07939C,ABEXEN,312.9959029,0.007137975,97.0,0.37,Me2NH,,,,,,
