DOI,Name,Temperature,proton conductivity,RH,Ea,Guest,NOTE,Water Adsorption(cm^3/g),g/g,mol/mol,weight,wt%
10.1021/acsami.1c06346,CPO-27-Mg-NCS,313.0,0.00087,60.0,0.17,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,323.0,0.0011,60.0,0.17,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,333.0,0.0012,60.0,0.17,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,298.0,0.0031,75.0,0.15,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,303.0,0.0033,75.0,0.15,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,313.0,0.0038,75.0,0.15,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,323.0,0.0045,75.0,0.15,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,333.0,0.0051,75.0,0.15,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,298.0,0.0039,90.0,0.26,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,303.0,0.0046,90.0,0.26,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,313.0,0.0048,90.0,0.26,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,323.0,0.0082,90.0,0.26,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,333.0,0.01,90.0,0.26,NH3,,,,,,
10.1021/acsami.1c09001,UXIQOJ,298.0,0.000957,95.0,,,Ni-MOF,,,,,
10.1021/acsami.1c09001,UXIQOJ,303.0,0.00108,95.0,,,Ni-MOF,,,,,
10.1021/acsami.1c09001,UXIQOJ,308.0,0.00126,95.0,,,Ni-MOF,,,,,
10.1021/acsami.1c09001,UXIQOJ,313.0,0.00187,95.0,,,Ni-MOF,,,,,
10.1021/acsami.1c09001,UXIQOJ,318.0,0.00239,95.0,,,Ni-MOF,,,,,
10.1021/acsami.1c09001,UXIQOJ,323.0,0.00391,95.0,,,Ni-MOF,,,,,
10.1021/acsami.1c09001,UXIQOJ,328.0,0.00478,95.0,,,Ni-MOF,,,,,
10.1021/acsami.8b18891,PIWWAW,298.0,8.32e-08,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,308.0,1.04e-07,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,313.0,1.43e-07,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,323.0,2.24e-07,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,333.0,3.21e-07,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,343.0,7.25e-07,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,353.0,4.91e-06,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,358.0,9.36e-06,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,363.0,1.92e-05,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,368.0,5.6e-05,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,373.0,7.16e-05,68.0,1.32,,,179.04800813531622,0.144,,,
10.1021/acsami.8b18891,PIWWAW,298.0,1.35e-06,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,308.0,2.45e-06,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,313.0,5.04e-06,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,323.0,9.53e-06,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,333.0,1.36e-05,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,343.0,1.75e-05,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,353.0,2.62e-05,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,358.0,3.63e-05,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,363.0,5.25e-05,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,368.0,8.16e-05,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,373.0,0.000112,75.0,,,,182.77817497146864,0.147,,,
10.1021/acsami.8b18891,PIWWAW,298.0,3.87e-06,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,308.0,6.14e-06,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,313.0,9.15e-06,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,323.0,1.45e-05,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,333.0,4.06e-05,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,343.0,5.28e-05,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,353.0,6.47e-05,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,358.0,8.98e-05,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,363.0,0.000174,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,368.0,0.000204,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,373.0,0.000302,85.0,,,,188.9951196983893,0.152,,,
10.1021/acsami.8b18891,PIWWAW,298.0,5.21e-06,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,308.0,1.15e-05,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,313.0,1.52e-05,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,323.0,2.55e-05,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,333.0,2.99e-05,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,343.0,5.99e-05,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,353.0,8.11e-05,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,358.0,0.000124,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,363.0,0.0003,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,368.0,0.000392,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,373.0,0.000567,93.0,,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,298.0,1.13e-05,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,308.0,2.17e-05,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,313.0,3.75e-05,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,323.0,5.48e-05,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,333.0,6.25e-05,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,343.0,7.68e-05,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,353.0,0.000109,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,358.0,0.000146,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,363.0,0.000319,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,368.0,0.000632,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.8b18891,PIWWAW,373.0,0.00104,98.0,0.35,,,195.21206442531007,0.157,,,
10.1021/acsami.9b23356,YULCIU,308.0,2.7e-06,98.0,0.95,,FJU-82-Co,,,,,
10.1021/acsami.9b23356,YULCIU,313.0,7e-06,98.0,0.95,,FJU-82-Co,,,,,
10.1021/acsami.9b23356,YULCIU,318.0,1.57e-05,98.0,0.95,,FJU-82-Co,,,,,
10.1021/acsami.9b23356,YULCIU,323.0,3.5e-05,98.0,0.95,,FJU-82-Co,,,,,
10.1021/acsami.9b23356,YULCIU,328.0,5.35e-05,98.0,0.95,,FJU-82-Co,,,,,
10.1021/acsami.9b23356,YULCIU,333.0,7.4e-05,98.0,0.95,,FJU-82-Co,,,,,
10.1021/acsami.9b23356,YULCOA,308.0,2.32e-07,98.0,0.46,,FJU-82-Zn,,,,,
10.1021/acsami.9b23356,YULCOA,313.0,2.6e-07,98.0,0.46,,FJU-82-Zn,,,,,
10.1021/acsami.9b23356,YULCOA,318.0,2.97e-07,98.0,0.46,,FJU-82-Zn,,,,,
10.1021/acsami.9b23356,YULCOA,323.0,3.87e-07,98.0,0.46,,FJU-82-Zn,,,,,
10.1021/acsami.9b23356,YULCOA,328.0,4.67e-07,98.0,0.46,,FJU-82-Zn,,,,,
10.1021/acsami.9b23356,YULCOA,333.0,5.8e-07,98.0,0.46,,FJU-82-Zn,,,,,
10.1021/acsomega.1c00574,HAWGUL,333.0,5.96e-06,68.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,343.0,8.08e-06,68.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,353.0,1.12e-05,68.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,363.0,1.54e-05,68.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,333.0,6.88e-06,75.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,343.0,8.87e-06,75.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,353.0,1.46e-05,75.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,363.0,1.99e-05,75.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,333.0,8.35e-06,85.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,343.0,1.27e-05,85.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,353.0,1.75e-05,85.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,363.0,2.64e-05,85.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,303.0,6.45e-06,93.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,313.0,7.61e-06,93.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,323.0,8.96e-06,93.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,333.0,1.07e-05,93.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,343.0,1.4e-05,93.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,353.0,2.08e-05,93.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,363.0,4.32e-05,93.0,,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,303.0,1.01e-05,98.0,0.38,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,313.0,1.54e-05,98.0,0.38,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,323.0,2.13e-05,98.0,0.38,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,333.0,2.76e-05,98.0,0.38,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,343.0,4.63e-05,98.0,0.38,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,353.0,7.21e-05,98.0,0.38,,2 Ni,,,,,
10.1021/acsomega.1c00574,HAWGUL,363.0,0.000129,98.0,0.38,,2 Ni,,,,,
10.1021/jacsau.1c00388,PAZNAJ,333.0,0.0071,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,327.9054058,0.005483356,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,322.8743567,0.004550818,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,317.7064139,0.003416571,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,312.8402137,0.002982225,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,307.8486001,0.002238818,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,302.7495716,0.001768819,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,298.0,0.0014,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,292.7931885,0.001221417,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,287.6994117,0.000918288,95.0,0.4,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,333.0,1.3e-07,0.0,0.79,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,327.9979008,9.61e-08,0.0,0.79,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,322.8159884,6.2e-08,0.0,0.79,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,318.0863923,4.42e-08,0.0,0.79,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,312.9283206,2.85e-08,0.0,0.79,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,307.9358139,1.75e-08,0.0,0.79,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,302.9678733,1.07e-08,0.0,0.79,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,297.9009896,6.93e-09,0.0,0.79,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,292.8789414,3.66e-09,0.0,0.79,Me2NH,1,,,,,
10.1021/jacsau.1c00388,PAZNAJ,287.9023435,2.25e-09,0.0,0.79,Me2NH,1,,,,,
10.1021/acs.cgd.0c01042,OMIBAQ,313.0,0.000322,90.0,,methanol,PDA-WC,,,,,
10.1021/acs.cgd.1c00385,YAHWAJ,298.0,7.01e-07,98.0,,,1,78.0,,,,
10.1021/acs.cgd.1c00385,YAHWAJ,298.0,7.4e-10,33.1052,,,1,45.0,,,,
10.1021/acs.cgd.1c00385,YAHWAJ,298.0,9.33e-10,53.2154,,,1,48.0,,,,
10.1021/acs.cgd.1c00385,YAHWAJ,298.0,2.95e-09,74.9363,,,1,53.0,,,,
10.1021/acs.cgd.1c00872,WAVWAV,298.0,9.66e-09,30.0,0.34,,,34.814890470755934,0.028,,,
10.1021/acs.cgd.1c00872,WAVWAV,300.0,1.04e-08,30.0,0.34,,,34.814890470755934,0.028,,,
10.1021/acs.cgd.1c00872,WAVWAV,302.0,1.13e-08,30.0,0.34,,,34.814890470755934,0.028,,,
10.1021/acs.cgd.1c00872,WAVWAV,304.0,1.23e-08,30.0,0.34,,,34.814890470755934,0.028,,,
10.1021/acs.cgd.1c00872,WAVWAV,306.0,1.32e-08,30.0,0.34,,,34.814890470755934,0.028,,,
10.1021/acs.cgd.1c00872,WAVWAV,298.0,6.82e-08,50.0,0.65,,,43.51861308844492,0.035,,,
10.1021/acs.cgd.1c00872,WAVWAV,300.0,7.9e-08,50.0,0.65,,,43.51861308844492,0.035,,,
10.1021/acs.cgd.1c00872,WAVWAV,302.0,9.53e-08,50.0,0.65,,,43.51861308844492,0.035,,,
10.1021/acs.cgd.1c00872,WAVWAV,304.0,1.11e-07,50.0,0.65,,,43.51861308844492,0.035,,,
10.1021/acs.cgd.1c00872,WAVWAV,306.0,1.27e-07,50.0,0.65,,,43.51861308844492,0.035,,,
10.1021/acs.cgd.1c00872,WAVWAV,298.0,4.5e-06,70.0,0.71,,,49.73555781536562,0.04,,,
10.1021/acs.cgd.1c00872,WAVWAV,300.0,5.6e-06,70.0,0.71,,,49.73555781536562,0.04,,,
10.1021/acs.cgd.1c00872,WAVWAV,302.0,6.69e-06,70.0,0.71,,,49.73555781536562,0.04,,,
10.1021/acs.cgd.1c00872,WAVWAV,304.0,7.71e-06,70.0,0.71,,,49.73555781536562,0.04,,,
10.1021/acs.cgd.1c00872,WAVWAV,306.0,9.17e-06,70.0,0.71,,,49.73555781536562,0.04,,,
10.1021/acs.cgd.1c00872,WAVWAV,298.0,0.000317,90.0,1.05,,,72.11655883228015,0.058,,,
10.1021/acs.cgd.1c00872,WAVWAV,300.0,0.000462,90.0,1.05,,,72.11655883228015,0.058,,,
10.1021/acs.cgd.1c00872,WAVWAV,302.0,0.000565,90.0,1.05,,,72.11655883228015,0.058,,,
10.1021/acs.cgd.1c00872,WAVWAV,304.0,0.000721,90.0,1.05,,,72.11655883228015,0.058,,,
10.1021/acs.cgd.1c00872,WAVWAV,306.0,0.000939,90.0,1.05,,,72.11655883228015,0.058,,,
10.1021/acs.cgd.2c00875,YEQSEW,313.0,1.43e-07,68.0,0.93,,1,203.91578704299903,0.164,,,
10.1021/acs.cgd.2c00875,YEQSEW,323.0,8.37e-07,68.0,0.93,,1,203.91578704299903,0.164,,,
10.1021/acs.cgd.2c00875,YEQSEW,333.0,2.35e-06,68.0,0.93,,1,203.91578704299903,0.164,,,
10.1021/acs.cgd.2c00875,YEQSEW,343.0,5.76e-06,68.0,0.93,,1,203.91578704299903,0.164,,,
10.1021/acs.cgd.2c00875,YEQSEW,353.0,1.16e-05,68.0,0.93,,1,203.91578704299903,0.164,,,
10.1021/acs.cgd.2c00875,YEQSEW,363.0,2.55e-05,68.0,0.93,,1,203.91578704299903,0.164,,,
10.1021/acs.cgd.2c00875,YEQSEW,373.0,8.46e-05,68.0,0.93,,1,203.91578704299903,0.164,,,
10.1021/acs.cgd.2c00875,YEQSEW,313.0,4.76e-07,75.0,,,1,208.8893428245356,0.168,,,
10.1021/acs.cgd.2c00875,YEQSEW,323.0,9.96e-07,75.0,,,1,208.8893428245356,0.168,,,
10.1021/acs.cgd.2c00875,YEQSEW,333.0,3.75e-06,75.0,,,1,208.8893428245356,0.168,,,
10.1021/acs.cgd.2c00875,YEQSEW,343.0,6.72e-06,75.0,,,1,208.8893428245356,0.168,,,
10.1021/acs.cgd.2c00875,YEQSEW,353.0,1.24e-05,75.0,,,1,208.8893428245356,0.168,,,
10.1021/acs.cgd.2c00875,YEQSEW,363.0,3.45e-05,75.0,,,1,208.8893428245356,0.168,,,
10.1021/acs.cgd.2c00875,YEQSEW,373.0,0.000307,75.0,,,1,208.8893428245356,0.168,,,
10.1021/acs.cgd.2c00875,YEQSEW,313.0,6.46e-07,85.0,,,1,226.29678805991355,0.182,,,
10.1021/acs.cgd.2c00875,YEQSEW,323.0,1.51e-06,85.0,,,1,226.29678805991355,0.182,,,
10.1021/acs.cgd.2c00875,YEQSEW,333.0,4.21e-06,85.0,,,1,226.29678805991355,0.182,,,
10.1021/acs.cgd.2c00875,YEQSEW,343.0,9.71e-06,85.0,,,1,226.29678805991355,0.182,,,
